Nome,Partido,UF,Tipo_de_Despesa,Valor
PERPÉTUA ALMEIDA,PCdoB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  28400
PERPÉTUA ALMEIDA,PCdoB,AC,"PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR",R$  20929
PERPÉTUA ALMEIDA,PCdoB,AC,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  15123,19"
PERPÉTUA ALMEIDA,PCdoB,AC,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  10965,26"
PERPÉTUA ALMEIDA,PCdoB,AC,TELEFONIA,"R$  5710,93"
PERPÉTUA ALMEIDA,PCdoB,AC,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO","R$  1399,22"
PERPÉTUA ALMEIDA,PCdoB,AC,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  1100
PERPÉTUA ALMEIDA,PCdoB,AC,ASSINATURA DE PUBLICAÇÕES,R$  1053
PERPÉTUA ALMEIDA,PCdoB,AC,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  781,99"
PERPÉTUA ALMEIDA,PCdoB,AC,Total,"R$  274306,07"
DELEGADO ÉDER MAURO,PSD,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  121500
DELEGADO ÉDER MAURO,PSD,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  55010
DELEGADO ÉDER MAURO,PSD,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  40000
DELEGADO ÉDER MAURO,PSD,PA,EMISSÃO BILHETE AÉREO,"R$  36642,66"
DELEGADO ÉDER MAURO,PSD,PA,COMBUSTÍVEIS E LUBRIFICANTES.,R$  17608
DELEGADO ÉDER MAURO,PSD,PA,TELEFONIA,"R$  168,13"
DELEGADO ÉDER MAURO,PSD,PA,SERVIÇOS POSTAIS,"R$  41,21"
DELEGADO ÉDER MAURO,PSD,PA,Total,R$  270970
SILAS CÂMARA,PRB,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  193646,17"
SILAS CÂMARA,PRB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  46500
SILAS CÂMARA,PRB,AM,EMISSÃO BILHETE AÉREO,"R$  27726,2"
SILAS CÂMARA,PRB,AM,TELEFONIA,"R$  770,49"
SILAS CÂMARA,PRB,AM,SERVIÇOS POSTAIS,"R$  647,31"
SILAS CÂMARA,PRB,AM,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,R$  199
SILAS CÂMARA,PRB,AM,Total,"R$  269489,17"
CLEBER VERDE,PRB,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  140800
CLEBER VERDE,PRB,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  72000
CLEBER VERDE,PRB,MA,EMISSÃO BILHETE AÉREO,"R$  23605,07"
CLEBER VERDE,PRB,MA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  17983,8"
CLEBER VERDE,PRB,MA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  10149,8"
CLEBER VERDE,PRB,MA,TELEFONIA,"R$  3991,35"
CLEBER VERDE,PRB,MA,SERVIÇOS POSTAIS,"R$  651,68"
CLEBER VERDE,PRB,MA,Total,"R$  269181,7"
LUIZ CARLOS,PSDB,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  81000
LUIZ CARLOS,PSDB,AP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  47761,9"
LUIZ CARLOS,PSDB,AP,EMISSÃO BILHETE AÉREO,"R$  43991,44"
LUIZ CARLOS,PSDB,AP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  30000
LUIZ CARLOS,PSDB,AP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  28000
LUIZ CARLOS,PSDB,AP,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  27529,48"
LUIZ CARLOS,PSDB,AP,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,R$  8000
LUIZ CARLOS,PSDB,AP,TELEFONIA,"R$  2503,12"
LUIZ CARLOS,PSDB,AP,Total,"R$  268785,94"
FERNANDO RODOLFO,PL,PE,PASSAGENS AÉREAS,"R$  72908,57"
FERNANDO RODOLFO,PL,PE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  62220
FERNANDO RODOLFO,PL,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  60000
FERNANDO RODOLFO,PL,PE,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  19237,37"
FERNANDO RODOLFO,PL,PE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  15800
FERNANDO RODOLFO,PL,PE,EMISSÃO BILHETE AÉREO,"R$  14110,24"
FERNANDO RODOLFO,PL,PE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  6437,12"
FERNANDO RODOLFO,PL,PE,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  5649,8"
FERNANDO RODOLFO,PL,PE,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,R$  5000
FERNANDO RODOLFO,PL,PE,TELEFONIA,"R$  2901,62"
FERNANDO RODOLFO,PL,PE,SERVIÇOS POSTAIS,"R$  2746,45"
FERNANDO RODOLFO,PL,PE,Total,"R$  267011,17"
FLAVIANO MELO,MDB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  85000
FLAVIANO MELO,MDB,AC,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  55000
FLAVIANO MELO,MDB,AC,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  35909,56"
FLAVIANO MELO,MDB,AC,EMISSÃO BILHETE AÉREO,"R$  23335,88"
FLAVIANO MELO,MDB,AC,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  20677,45"
FLAVIANO MELO,MDB,AC,TELEFONIA,"R$  15847,7"
FLAVIANO MELO,MDB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  13072
FLAVIANO MELO,MDB,AC,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  8000
FLAVIANO MELO,MDB,AC,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",R$  6732
FLAVIANO MELO,MDB,AC,SERVIÇOS POSTAIS,"R$  1428,36"
FLAVIANO MELO,MDB,AC,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,R$  1330
FLAVIANO MELO,MDB,AC,Total,"R$  266332,95"
MARCELO RAMOS,PL,AM,PASSAGENS AÉREAS,"R$  87198,66"
MARCELO RAMOS,PL,AM,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  65681,44"
MARCELO RAMOS,PL,AM,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  39337
MARCELO RAMOS,PL,AM,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  33372,5"
MARCELO RAMOS,PL,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  23502,53"
MARCELO RAMOS,PL,AM,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  10738,32"
MARCELO RAMOS,PL,AM,ASSINATURA DE PUBLICAÇÕES,R$  2160
MARCELO RAMOS,PL,AM,TELEFONIA,"R$  1102,15"
MARCELO RAMOS,PL,AM,SERVIÇOS POSTAIS,"R$  103,83"
MARCELO RAMOS,PL,AM,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",R$  30
MARCELO RAMOS,PL,AM,Total,"R$  263226,43"
WELLINGTON ROBERTO,PL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  197400
WELLINGTON ROBERTO,PL,PB,EMISSÃO BILHETE AÉREO,"R$  42018,11"
WELLINGTON ROBERTO,PL,PB,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  6566,63"
WELLINGTON ROBERTO,PL,PB,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  6000
WELLINGTON ROBERTO,PL,PB,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  3598,6"
WELLINGTON ROBERTO,PL,PB,SERVIÇOS POSTAIS,"R$  2546,34"
WELLINGTON ROBERTO,PL,PB,TELEFONIA,"R$  2369,38"
WELLINGTON ROBERTO,PL,PB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO","R$  1118,1"
WELLINGTON ROBERTO,PL,PB,PASSAGENS AÉREAS,"R$  424,11"
WELLINGTON ROBERTO,PL,PB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  267,89"
WELLINGTON ROBERTO,PL,PB,Total,"R$  262309,16"
MARRECA FILHO,PATRIOTA,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  122683,2"
MARRECA FILHO,PATRIOTA,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  73900
MARRECA FILHO,PATRIOTA,MA,EMISSÃO BILHETE AÉREO,"R$  29333,56"
MARRECA FILHO,PATRIOTA,MA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  28269,42"
MARRECA FILHO,PATRIOTA,MA,TELEFONIA,"R$  1886,89"
MARRECA FILHO,PATRIOTA,MA,SERVIÇOS POSTAIS,"R$  1719,13"
MARRECA FILHO,PATRIOTA,MA,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  1709,04"
MARRECA FILHO,PATRIOTA,MA,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  1253,08"
MARRECA FILHO,PATRIOTA,MA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  1115,64"
MARRECA FILHO,PATRIOTA,MA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  245,9"
MARRECA FILHO,PATRIOTA,MA,Total,"R$  262115,86"
VANDER LOUBET,PT,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  140246
VANDER LOUBET,PT,MS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  38500
VANDER LOUBET,PT,MS,EMISSÃO BILHETE AÉREO,"R$  25571,18"
VANDER LOUBET,PT,MS,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  24218,65"
VANDER LOUBET,PT,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  16510,22"
VANDER LOUBET,PT,MS,PASSAGENS AÉREAS,"R$  8803,52"
VANDER LOUBET,PT,MS,SERVIÇOS POSTAIS,"R$  2954,87"
VANDER LOUBET,PT,MS,TELEFONIA,"R$  1794,99"
VANDER LOUBET,PT,MS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",R$  1535
VANDER LOUBET,PT,MS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO","R$  317,2"
VANDER LOUBET,PT,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  125,66"
VANDER LOUBET,PT,MS,Total,"R$  260577,29"
HÉLIO LEITE,DEM,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  93300
HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  48546,05"
HÉLIO LEITE,DEM,PA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  34436,61"
HÉLIO LEITE,DEM,PA,EMISSÃO BILHETE AÉREO,"R$  30679,6"
HÉLIO LEITE,DEM,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  18000
HÉLIO LEITE,DEM,PA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  12158,08"
HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  10800
HÉLIO LEITE,DEM,PA,PASSAGENS AÉREAS,"R$  3457,14"
HÉLIO LEITE,DEM,PA,TELEFONIA,"R$  3374,65"
HÉLIO LEITE,DEM,PA,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  1380,2"
HÉLIO LEITE,DEM,PA,SERVIÇOS POSTAIS,"R$  927,97"
HÉLIO LEITE,DEM,PA,Total,"R$  257060,3"
NIVALDO ALBUQUERQUE,PTB,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  196000
NIVALDO ALBUQUERQUE,PTB,AL,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  28842,95"
NIVALDO ALBUQUERQUE,PTB,AL,EMISSÃO BILHETE AÉREO,"R$  28377,05"
NIVALDO ALBUQUERQUE,PTB,AL,TELEFONIA,"R$  1647,93"
NIVALDO ALBUQUERQUE,PTB,AL,SERVIÇOS POSTAIS,"R$  319,25"
NIVALDO ALBUQUERQUE,PTB,AL,Total,"R$  255187,18"
FABIO REIS,MDB,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  72000
FABIO REIS,MDB,SE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  66000
FABIO REIS,MDB,SE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  32928,37"
FABIO REIS,MDB,SE,EMISSÃO BILHETE AÉREO,"R$  28826,44"
FABIO REIS,MDB,SE,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  22209,64"
FABIO REIS,MDB,SE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  21000
FABIO REIS,MDB,SE,TELEFONIA,"R$  10023,57"
FABIO REIS,MDB,SE,SERVIÇOS POSTAIS,"R$  1136,33"
FABIO REIS,MDB,SE,Total,"R$  254124,35"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  126500
FÉLIX MENDONÇA JÚNIOR,PDT,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  39025
FÉLIX MENDONÇA JÚNIOR,PDT,BA,EMISSÃO BILHETE AÉREO,"R$  35799,35"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  27328,09"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  10743,82"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,TELEFONIA,"R$  6942,73"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,SERVIÇOS POSTAIS,"R$  5572,21"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,PASSAGENS AÉREAS,"R$  426,98"
FÉLIX MENDONÇA JÚNIOR,PDT,BA,Total,"R$  252338,18"
EDIO LOPES,PL,RR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  85200
EDIO LOPES,PL,RR,EMISSÃO BILHETE AÉREO,"R$  62031,52"
EDIO LOPES,PL,RR,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  50000
EDIO LOPES,PL,RR,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  34169,42"
EDIO LOPES,PL,RR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,R$  18000
EDIO LOPES,PL,RR,TELEFONIA,"R$  1615,93"
EDIO LOPES,PL,RR,SERVIÇOS POSTAIS,"R$  575,32"
EDIO LOPES,PL,RR,Total,"R$  251592,19"
JOÃO DANIEL,PT,SE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  73050
JOÃO DANIEL,PT,SE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  47500
JOÃO DANIEL,PT,SE,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  35738,53"
JOÃO DANIEL,PT,SE,EMISSÃO BILHETE AÉREO,"R$  27811,87"
JOÃO DANIEL,PT,SE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  25399,3"
JOÃO DANIEL,PT,SE,PASSAGENS AÉREAS,"R$  21815,74"
JOÃO DANIEL,PT,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  13900
JOÃO DANIEL,PT,SE,TELEFONIA,"R$  4827,12"
JOÃO DANIEL,PT,SE,ASSINATURA DE PUBLICAÇÕES,R$  500
JOÃO DANIEL,PT,SE,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",R$  350
JOÃO DANIEL,PT,SE,SERVIÇOS POSTAIS,"R$  274,17"
JOÃO DANIEL,PT,SE,Total,"R$  251166,73"
CÁSSIO ANDRADE,PSB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  102950
CÁSSIO ANDRADE,PSB,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  57000
CÁSSIO ANDRADE,PSB,PA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  31256,85"
CÁSSIO ANDRADE,PSB,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  20600
CÁSSIO ANDRADE,PSB,PA,EMISSÃO BILHETE AÉREO,"R$  18713,18"
CÁSSIO ANDRADE,PSB,PA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  7988,04"
CÁSSIO ANDRADE,PSB,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  5909,84"
CÁSSIO ANDRADE,PSB,PA,PASSAGENS AÉREAS,"R$  3692,72"
CÁSSIO ANDRADE,PSB,PA,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",R$  1600
CÁSSIO ANDRADE,PSB,PA,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",R$  1070
CÁSSIO ANDRADE,PSB,PA,TELEFONIA,"R$  190,89"
CÁSSIO ANDRADE,PSB,PA,SERVIÇOS POSTAIS,"R$  101,75"
CÁSSIO ANDRADE,PSB,PA,Total,"R$  251073,27"
OLIVAL MARQUES,DEM,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  56890
OLIVAL MARQUES,DEM,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  51000
OLIVAL MARQUES,DEM,PA,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  38842,91"
OLIVAL MARQUES,DEM,PA,EMISSÃO BILHETE AÉREO,"R$  34516,76"
OLIVAL MARQUES,DEM,PA,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,R$  33704
OLIVAL MARQUES,DEM,PA,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,R$  17700
OLIVAL MARQUES,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,R$  16000
OLIVAL MARQUES,DEM,PA,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  1346,95"
OLIVAL MARQUES,DEM,PA,SERVIÇOS POSTAIS,"R$  596,22"
OLIVAL MARQUES,DEM,PA,TELEFONIA,"R$  418,65"
OLIVAL MARQUES,DEM,PA,Total,"R$  251015,49"
ACÁCIO FAVACHO,PROS,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  114000
ACÁCIO FAVACHO,PROS,AP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  67700
ACÁCIO FAVACHO,PROS,AP,EMISSÃO BILHETE AÉREO,"R$  27093,81"
ACÁCIO FAVACHO,PROS,AP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  27000
ACÁCIO FAVACHO,PROS,AP,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  11967,18"
ACÁCIO FAVACHO,PROS,AP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  1840,3"
ACÁCIO FAVACHO,PROS,AP,SERVIÇOS POSTAIS,"R$  692,71"
ACÁCIO FAVACHO,PROS,AP,TELEFONIA,"R$  433,73"
ACÁCIO FAVACHO,PROS,AP,Total,"R$  250727,73"
ANDRÉ FIGUEIREDO,PDT,CE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  60254,64"
ANDRÉ FIGUEIREDO,PDT,CE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  50686,15"
ANDRÉ FIGUEIREDO,PDT,CE,EMISSÃO BILHETE AÉREO,"R$  45953,14"
ANDRÉ FIGUEIREDO,PDT,CE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  33824,64"
ANDRÉ FIGUEIREDO,PDT,CE,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  29643,38"
ANDRÉ FIGUEIREDO,PDT,CE,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  22613,72"
ANDRÉ FIGUEIREDO,PDT,CE,TELEFONIA,"R$  4137,83"
ANDRÉ FIGUEIREDO,PDT,CE,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",R$  2207
ANDRÉ FIGUEIREDO,PDT,CE,SERVIÇOS POSTAIS,"R$  124,8"
ANDRÉ FIGUEIREDO,PDT,CE,Total,"R$  249445,3"
MARX BELTRÃO,PSD,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  187500
MARX BELTRÃO,PSD,AL,EMISSÃO BILHETE AÉREO,"R$  46905,39"
MARX BELTRÃO,PSD,AL,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  13961,64"
MARX BELTRÃO,PSD,AL,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,R$  334
MARX BELTRÃO,PSD,AL,SERVIÇOS POSTAIS,"R$  307,23"
MARX BELTRÃO,PSD,AL,TELEFONIA,"R$  302,19"
MARX BELTRÃO,PSD,AL,Total,"R$  249310,45"
BETO PEREIRA,PSDB,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72990
BETO PEREIRA,PSDB,MS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  63639
BETO PEREIRA,PSDB,MS,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  32410,49"
BETO PEREIRA,PSDB,MS,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  24000
BETO PEREIRA,PSDB,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  22523,8"
BETO PEREIRA,PSDB,MS,EMISSÃO BILHETE AÉREO,"R$  21250,04"
BETO PEREIRA,PSDB,MS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  4924,5"
BETO PEREIRA,PSDB,MS,TELEFONIA,"R$  3174,02"
BETO PEREIRA,PSDB,MS,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,R$  1622
BETO PEREIRA,PSDB,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  1484,17"
BETO PEREIRA,PSDB,MS,PASSAGENS AÉREAS,"R$  619,05"
BETO PEREIRA,PSDB,MS,SERVIÇOS POSTAIS,"R$  399,55"
BETO PEREIRA,PSDB,MS,Total,"R$  249036,62"
JHONATAN DE JESUS,PRB,RR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  77600
JHONATAN DE JESUS,PRB,RR,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  72120
JHONATAN DE JESUS,PRB,RR,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  48000
JHONATAN DE JESUS,PRB,RR,EMISSÃO BILHETE AÉREO,"R$  25367,73"
JHONATAN DE JESUS,PRB,RR,COMBUSTÍVEIS E LUBRIFICANTES.,R$  17500
JHONATAN DE JESUS,PRB,RR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  5465,8"
JHONATAN DE JESUS,PRB,RR,SERVIÇOS POSTAIS,"R$  1224,38"
JHONATAN DE JESUS,PRB,RR,TELEFONIA,"R$  837,71"
JHONATAN DE JESUS,PRB,RR,Total,"R$  248115,62"
TADEU ALENCAR,PSB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  66000
