Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
NATÁLIA BONAVIDES,0,0,5,2,7
TITO,0,0,0,1,1
CAPITÃO WAGNER,0,0,13,11,24
ALINE SLEUTJES,0,0,1,0,1
ÁTILA LIRA,0,0,0,1,1
FELIPE FRANCISCHINI,0,0,0,1,1
MARGARIDA SALOMÃO,0,0,1,1,2
DANRLEI DE DEUS HINTERHOLZ,0,0,1,0,1
PAULO AZI,0,0,2,0,2
SEBASTIÃO OLIVEIRA,0,0,2,0,2
ANGELA AMIN,0,0,1,1,2
PROFESSOR JOZIEL,0,0,1,0,1
DR. JAZIEL,0,0,5,3,8
MARINA SANTOS,0,0,0,0,0
JUNINHO DO PNEU,0,0,32,11,43
FLORDELIS,0,0,2,4,6
EDILÁZIO JÚNIOR,0,0,1,0,1
ROBERTO PESSOA,0,0,12,3,15
PROFESSORA DAYANE PIMENTEL,0,0,4,4,8
JOÃO H. CAMPOS,0,0,6,3,9
FÁBIO FARIA,0,0,7,7,14
ADRIANO DO BALDY,0,0,4,0,4
WALDENOR PEREIRA,0,0,0,0,0
OTONI DE PAULA,0,0,11,4,15
GLAUSTIN FOKUS,0,0,4,6,10
EDUARDO COSTA,0,0,4,4,8
PADRE JOÃO,0,0,0,0,0
RICARDO IZAR,0,0,10,2,12
PAULÃO,0,0,0,0,0
CAPITÃO ALBERTO NETO,0,0,5,12,17
GENECIAS NORONHA,0,0,0,0,0
GUILHERME MUSSI,0,0,2,1,3
HENRIQUE FONTANA,0,0,0,0,0
DANIEL SILVEIRA,0,0,4,9,13
MARCOS PEREIRA,0,0,4,4,8
CLARISSA GAROTINHO,0,0,2,0,2
AJ ALBUQUERQUE,0,0,3,1,4
WOLNEY QUEIROZ,0,0,0,4,4
OTACI NASCIMENTO,0,0,3,0,3
HERCULANO PASSOS,0,0,1,1,2
LUCIO MOSQUINI,0,0,3,2,5
ZÉ CARLOS,0,0,1,0,1
DANIEL COELHO,0,0,2,1,3
GILBERTO NASCIMENTO,0,0,0,1,1
RODRIGO DE CASTRO,0,0,0,1,1
EDNA HENRIQUE,0,0,50,20,70
ALEXANDRE SERFIOTIS,0,0,0,1,1
MARCELO BRUM,0,0,0,0,0
JOSEILDO RAMOS,0,0,0,0,0
GURGEL,0,0,1,3,4
GUTEMBERG REIS,0,0,6,7,13
DIEGO GARCIA,0,0,1,2,3
CARLOS ZARATTINI,0,0,0,0,0
IRACEMA PORTELLA,0,0,2,0,2
HAROLDO CATHEDRAL,0,0,0,0,0
JEFFERSON CAMPOS,0,0,0,0,0
ALÊ SILVA,0,0,1,2,3
SERGIO VIDIGAL,0,0,10,2,12
MAURO LOPES,0,0,0,0,0
MARIA ROSAS,0,0,4,3,7
RUI FALCÃO,0,0,2,0,2
MAGDA MOFATTO,0,0,9,5,14
ALUISIO MENDES,0,0,5,7,12
CARLOS JORDY,0,0,9,0,9
RICARDO BARROS,0,0,0,1,1
GLAUBER BRAGA,0,0,0,0,0
SUBTENENTE GONZAGA,0,0,1,1,2
CEZINHA DE MADUREIRA,0,0,9,1,10
SANTINI,0,0,4,2,6
ROGÉRIO PENINHA MENDONÇA,0,0,2,4,6
PASTOR EURICO,0,0,6,2,8
DANIELA DO WAGUINHO,0,0,1,3,4
TABATA AMARAL,0,0,1,1,2
PEDRO PAULO,0,0,2,0,2
VALTENIR PEREIRA,0,0,14,7,21
ALTINEU CÔRTES,0,0,4,4,8
FERNANDO COELHO FILHO,0,0,0,0,0
JOSIMAR MARANHÃOZINHO,0,0,0,0,0
DA VITORIA,0,0,2,1,3
CARLOS CHIODINI,0,0,4,2,6
OSSESIO SILVA,0,0,4,3,7
CHARLES FERNANDES,0,0,18,2,20
LAFAYETTE DE ANDRADA,0,0,6,3,9
RAIMUNDO COSTA,0,0,2,1,3
MOSES RODRIGUES,0,0,0,0,0
AGUINALDO RIBEIRO,0,0,0,0,0
CHARLLES EVANGELISTA,0,0,1,0,1
WLADIMIR GAROTINHO,0,0,1,5,6
DR. LUIZ ANTONIO TEIXEIRA JR.,0,0,3,5,8
ARNALDO JARDIM,0,0,0,0,0
SÓSTENES CAVALCANTE,0,0,2,2,4
CELSO RUSSOMANNO,0,0,5,0,5
SÂMIA BOMFIM,0,0,3,1,4
LEANDRE,0,0,4,3,7
LUISA CANZIANI,0,0,0,1,1
LUIZÃO GOULART,0,0,4,0,4
FERNANDA MELCHIONNA,0,0,4,2,6
HELDER SALOMÃO,0,0,1,4,5
REJANE DIAS,0,0,17,4,21
CÉLIO MOURA,0,0,0,0,0
MÁRCIO JERRY,0,0,1,2,3
PEDRO AUGUSTO BEZERRA,0,0,4,2,6
DELEGADO MARCELO FREITAS,0,0,3,2,5
LOESTER TRUTIS,0,0,0,2,2
EFRAIM FILHO,0,0,0,0,0
MILTON VIEIRA,0,0,2,1,3
VICENTINHO,0,0,5,3,8
LAERCIO OLIVEIRA,0,0,3,1,4
ALEXANDRE LEITE,0,0,2,3,5
FILIPE BARROS,0,0,6,2,8
LÍDICE DA MATA,0,0,1,0,1
CARLA ZAMBELLI,0,0,6,3,9
JOÃO CARLOS BACELAR,0,0,0,0,0
ROSE MODESTO,0,0,5,1,6
CHRISTINO AUREO,0,0,0,0,0
IVAN VALENTE,0,0,2,0,2
JUAREZ COSTA,0,0,0,0,0
CARMEN ZANOTTO,0,0,8,4,12
HUGO LEAL,0,0,4,0,4
FRANCISCO JR.,0,0,3,0,3
ROGÉRIO CORREIA,0,0,4,2,6
PAULO PEREIRA DA SILVA,0,0,0,0,0
PINHEIRINHO,0,0,4,2,6
LUIZA ERUNDINA,0,0,1,1,2
PROFESSORA MARCIVANIA,0,0,0,0,0
EDUARDO BISMARCK,0,0,10,4,14
SCHIAVINATO,0,0,5,7,12
GASTÃO VIEIRA,0,0,2,0,2
ASSIS CARVALHO,0,0,2,3,5
ENRICO MISASI,0,0,0,0,0
EDUARDO BRAIDE,0,0,2,1,3
FRED COSTA,0,0,14,11,25
FLÁVIA MORAIS,0,0,4,4,8
FÁBIO RAMALHO,0,0,0,0,0
TED CONTI,0,0,2,1,3
ELCIONE BARBALHO,0,0,3,1,4
JÚNIOR BOZZELLA,0,0,11,4,15
MARCELO ARO,0,0,0,1,1
SANDERSON,0,0,22,7,29
EDUARDO BOLSONARO,0,1,0,0,1
LEDA SADALA,0,0,0,0,0
MAJOR FABIANA,0,0,1,0,1
LUIZ ANTÔNIO CORRÊA,0,0,1,0,1
SORAYA SANTOS,0,0,0,3,3
AÉCIO NEVES,0,0,7,2,9
JOÃO ROMA,0,0,8,3,11
PEDRO CUNHA LIMA,0,0,2,0,2
ALENCAR SANTANA BRAGA,0,0,1,1,2
MARIANA CARVALHO,0,0,2,3,5
JULIO CESAR RIBEIRO,0,0,16,8,24
EDUARDO DA FONTE,0,0,1,0,1
BIA CAVASSA,0,0,2,2,4
DR. FREDERICO,0,0,1,2,3
CARLOS GOMES,0,0,1,0,1
AUREO RIBEIRO,0,0,8,4,12
ÁUREA CAROLINA,0,0,0,0,0
ANDRÉ FUFUCA,0,0,1,1,2
RENILDO CALHEIROS,0,0,1,1,2
DANILO CABRAL,0,0,5,2,7
PROFESSORA DORINHA SEABRA REZENDE,0,0,1,1,2
ARTHUR LIRA,0,0,0,0,0
BOSCO COSTA,0,0,3,1,4
DELEGADO ANTÔNIO FURTADO,0,0,5,2,7
FÁBIO TRAD,0,0,7,5,12
JOENIA WAPICHANA,0,0,1,1,2
DR. ZACHARIAS CALIL,0,0,0,1,1
EDUARDO BARBOSA,0,0,0,1,1
DIEGO ANDRADE,0,0,2,0,2
DRA. SORAYA MANATO,0,0,6,9,15
BRUNA FURLAN,0,0,1,0,1
DAVID MIRANDA,0,0,0,0,0
OTTO ALENCAR FILHO,0,0,6,2,8
ZÉ NETO,0,0,2,0,2
PAULO MAGALHÃES,0,0,0,0,0
JORGE BRAZ,0,0,2,1,3
MIGUEL LOMBARDI,0,0,0,0,0
HEITOR SCHUCH,0,0,0,3,3
TÚLIO GADÊLHA,0,0,0,0,0
SIDNEY LEITE,0,0,2,2,4
CÉLIO STUDART,0,0,98,32,130
BIRA DO PINDARÉ,0,0,2,1,3
ANDRÉ JANONES,0,0,1,0,1
CELINA LEÃO,0,0,1,3,4
ISNALDO BULHÕES JR.,0,0,0,1,1
ENÉIAS REIS,0,0,6,1,7
NORMA AYUB,0,0,2,1,3
FELIPE RIGONI,0,0,0,4,4
PASTOR SARGENTO ISIDÓRIO,0,0,8,6,14
BENES LEOCÁDIO,0,0,3,1,4
LIZIANE BAYER,0,0,5,3,8
STEFANO AGUIAR,0,0,0,0,0
MARCELO CALERO,0,0,7,6,13
LAURIETE,0,0,13,4,17
GERVÁSIO MAIA,0,0,3,0,3
RODRIGO COELHO,0,0,3,0,3
CHIQUINHO BRAZÃO,0,0,7,5,12
LUIZ LIMA,0,0,11,9,20
ROSANA VALLE,0,0,5,3,8
ALEXANDRE FROTA,0,0,3,0,3
ARLINDO CHINAGLIA,0,0,2,0,2
JÚNIOR FERRARI,0,0,9,6,15
MARCELO MORAES,0,0,4,1,5
LUIZ FLÁVIO GOMES,0,0,10,5,15
MAJOR VITOR HUGO,0,0,2,4,6
EMIDINHO MADEIRA,0,0,1,0,1
LOURIVAL GOMES,0,0,5,1,6
DR. LEONARDO,0,0,4,5,9
PAULO RAMOS,0,0,3,2,5
ADOLFO VIANA,0,0,2,0,2
LUCIANO BIVAR,0,0,1,1,2
BIBO NUNES,0,0,4,2,6
HÉLIO COSTA,0,0,2,2,4
EMANUEL PINHEIRO NETO,0,0,3,0,3
PASTOR GILDENEMYR,0,0,2,1,3
GIOVANI FELTES,0,0,0,0,0
LUCAS REDECKER,0,0,3,4,7
GENERAL GIRÃO,0,0,1,1,2
LUCAS GONZALEZ,0,0,2,1,3
ALCIDES RODRIGUES,0,0,0,1,1
RICARDO GUIDI,0,0,0,0,0
ANDRÉ FERREIRA,0,0,4,4,8
SARGENTO FAHUR,0,0,3,0,3
PEDRO LUPION,0,0,3,0,3
SERGIO TOLEDO,0,0,0,0,0
MARCO BERTAIOLLI,0,0,1,0,1
JOSÉ MEDEIROS,0,0,37,26,63
LÉO MOTTA,0,0,1,0,1
GILBERTO ABRAMO,0,0,7,4,11
ELI BORGES,0,0,7,0,7
JUNIOR LOURENÇO,0,0,0,0,0
FRANCO CARTAFINA,0,0,2,4,6
HELIO LOPES,0,0,34,6,40
MAURO NAZIF,0,0,9,12,21
LUIZ CARLOS MOTTA,0,0,0,0,0
POLICIAL KATIA SASTRE,0,0,12,1,13
WELITON PRADO,0,0,5,5,10
JOSE MARIO SCHREINER,0,0,3,3,6
AMARO NETO,0,0,7,4,11
MAURO BENEVIDES FILHO,0,0,0,0,0
LUIS TIBÉ,0,0,1,0,1
NEWTON CARDOSO JR,0,0,2,0,2
IGOR KANNÁRIO,0,0,7,5,12
ALEXIS FONTEYNE,0,0,1,2,3
GENERAL PETERNELLI,0,0,2,0,2
VILSON DA FETAEMG,0,0,0,1,1
LÉO MORAES,0,0,4,8,12
CORONEL TADEU,0,0,11,4,15
FELÍCIO LATERÇA,0,0,2,1,3
TIRIRICA,0,0,3,2,5
MERLONG SOLANO,0,0,0,0,0
KIM KATAGUIRI,0,0,8,3,11
CHRIS TONIETTO,0,0,4,4,8
BIA KICIS,0,0,3,2,5
JOICE HASSELMANN,0,0,3,0,3
CORONEL ARMANDO,0,0,1,2,3
HERMES PARCIANELLO,0,0,0,0,0
GUIGA PEIXOTO,0,0,2,1,3
MARCIO ALVINO,0,0,0,0,0
LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,0,0,6,6,12
RODRIGO MAIA,0,0,0,0,0
GUSTAVO FRUET,0,0,3,1,4
SÉRGIO BRITO,0,0,0,0,0
DELEGADO WALDIR,0,0,6,3,9
DR. LUIZ OVANDO,0,0,2,1,3
CARLOS BEZERRA,0,0,7,11,18
GREYCE ELIAS,0,1,0,0,1
RODRIGO AGOSTINHO,0,0,36,13,49
CAROLINE DE TONI,0,0,3,0,3
ABOU ANNI,0,0,4,0,4
JOSIAS GOMES,0,0,0,0,0
PROFESSOR ISRAEL BATISTA,0,0,1,1,2
FELIPE CARRERAS,0,0,40,13,53
DANIEL TRZECIAK,0,0,0,0,0
CAPITÃO FÁBIO ABREU,0,0,0,0,0
RUBENS PEREIRA JÚNIOR,0,0,6,1,7
ANÍBAL GOMES,0,0,0,0,0
CABO JUNIO AMARAL,0,0,4,3,7
NELSON BARBUDO,0,0,3,0,3
ELIAS VAZ,0,0,1,0,1
ADRIANA VENTURA,0,0,0,1,1
PAULO GANIME,0,0,0,0,0
GILSON MARQUES,0,0,3,2,5
FLÁVIA ARRUDA,0,0,3,3,6
VINICIUS POIT,0,0,3,3,6
LUIS MIRANDA,0,0,10,2,12
MARCEL VAN HATTEM,0,0,2,0,2
JOSÉ NELTO,0,0,7,17,24
COVATTI FILHO,0,0,1,0,1
PAES LANDIM,0,0,0,0,0
PAULO EDUARDO MARTINS,0,0,2,0,2
TIAGO MITRAUD,0,0,0,4,4
SIMPLÍCIO ARAÚJO,0,0,2,1,3
SANDRO ALEX,0,0,0,0,0
HERCÍLIO COELHO DINIZ,0,0,1,4,5
OSMAR TERRA,0,0,0,0,0
PAULO FOLETTO,0,0,0,0,0
PAULA BELMONTE,0,0,4,6,10
TEREZA CRISTINA,0,0,2,0,2
MARCELO ÁLVARO ANTÔNIO,0,0,0,0,0
ONYX LORENZONI,0,0,0,0,0
