Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
OTONI DE PAULA,0,0,0,0,0
GLAUSTIN FOKUS,0,0,0,0,0
EDUARDO COSTA,0,0,0,0,0
PADRE JOÃO,0,0,2,3,5
RICARDO IZAR,0,0,3,4,7
PAULÃO,0,0,1,0,1
CAPITÃO ALBERTO NETO,0,0,0,0,0
GENECIAS NORONHA,0,0,0,0,0
GUILHERME MUSSI,0,0,2,2,4
HENRIQUE FONTANA,0,0,0,0,0
DANIEL SILVEIRA,0,0,0,0,0
MARCOS PEREIRA,0,0,0,0,0
CLARISSA GAROTINHO,0,0,5,2,7
AJ ALBUQUERQUE,0,0,0,0,0
WOLNEY QUEIROZ,0,0,0,0,0
OTACI NASCIMENTO,0,0,0,0,0
HERCULANO PASSOS,0,0,5,2,7
LUCIO MOSQUINI,0,0,3,2,5
ZÉ CARLOS,0,0,0,1,1
DANIEL COELHO,1,0,3,3,7
GILBERTO NASCIMENTO,0,0,4,0,4
RODRIGO DE CASTRO,0,0,2,2,4
EDNA HENRIQUE,0,0,0,0,0
ALEXANDRE SERFIOTIS,0,0,0,0,0
MARCELO BRUM,0,0,0,0,0
JOSEILDO RAMOS,0,0,0,0,0
GURGEL,0,0,0,1,1
GUTEMBERG REIS,0,0,0,0,0
DIEGO GARCIA,0,0,5,5,10
CARLOS ZARATTINI,0,0,0,0,0
IRACEMA PORTELLA,0,0,4,3,7
HAROLDO CATHEDRAL,0,0,0,0,0
JEFFERSON CAMPOS,0,0,5,0,5
ALÊ SILVA,0,0,0,0,0
SERGIO VIDIGAL,0,0,7,7,14
MAURO LOPES,0,0,1,0,1
MARIA ROSAS,0,0,0,0,0
RUI FALCÃO,0,0,0,0,0
MAGDA MOFATTO,1,0,0,0,1
ALUISIO MENDES,0,0,2,1,3
CARLOS JORDY,0,0,0,0,0
RICARDO BARROS,1,0,1,6,8
GLAUBER BRAGA,0,0,2,4,6
SUBTENENTE GONZAGA,0,0,5,1,6
CEZINHA DE MADUREIRA,0,0,0,0,0
SANTINI,0,0,0,0,0
ROGÉRIO PENINHA MENDONÇA,0,0,2,4,6
PASTOR EURICO,0,0,2,0,2
DANIELA DO WAGUINHO,0,0,0,0,0
TABATA AMARAL,0,0,0,0,0
PEDRO PAULO,1,0,0,0,1
VALTENIR PEREIRA,0,0,1,1,2
ALTINEU CÔRTES,0,0,5,1,6
FERNANDO COELHO FILHO,0,0,2,0,2
JOSIMAR MARANHÃOZINHO,0,0,0,0,0
DA VITORIA,0,0,0,0,0
CARLOS CHIODINI,0,0,0,0,0
OSSESIO SILVA,0,0,0,0,0
CHARLES FERNANDES,0,0,0,0,0
LAFAYETTE DE ANDRADA,0,0,0,0,0
RAIMUNDO COSTA,0,0,0,0,0
MOSES RODRIGUES,0,0,1,2,3
AGUINALDO RIBEIRO,0,0,0,0,0
CHARLLES EVANGELISTA,0,0,0,0,0
WLADIMIR GAROTINHO,0,0,0,0,0
DR. LUIZ ANTONIO TEIXEIRA JR.,0,0,0,0,0
ARNALDO JARDIM,0,0,0,0,0
SÓSTENES CAVALCANTE,0,0,6,3,9
CELSO RUSSOMANNO,0,0,1,1,2
SÂMIA BOMFIM,0,0,0,0,0
LEANDRE,0,0,5,1,6
LUISA CANZIANI,0,0,0,0,0
LUIZÃO GOULART,0,0,0,0,0
FERNANDA MELCHIONNA,0,0,0,0,0
HELDER SALOMÃO,0,0,5,2,7
REJANE DIAS,1,0,4,1,6
CÉLIO MOURA,0,0,0,0,0
MÁRCIO JERRY,0,0,0,0,0
PEDRO AUGUSTO BEZERRA,0,0,0,0,0
DELEGADO MARCELO FREITAS,0,0,0,0,0
LOESTER TRUTIS,0,0,0,0,0
EFRAIM FILHO,0,0,0,1,1
MILTON VIEIRA,0,0,0,0,0
VICENTINHO,0,0,7,11,18
LAERCIO OLIVEIRA,0,0,0,3,3
ALEXANDRE LEITE,0,0,2,3,5
FILIPE BARROS,0,0,0,0,0
LÍDICE DA MATA,0,0,0,1,1
CARLA ZAMBELLI,0,0,0,0,0
JOÃO CARLOS BACELAR,0,0,0,0,0
ROSE MODESTO,0,0,0,0,0
CHRISTINO AUREO,0,0,0,0,0
IVAN VALENTE,0,0,0,0,0
JUAREZ COSTA,0,0,0,0,0
CARMEN ZANOTTO,0,0,4,8,12
HUGO LEAL,1,0,1,2,4
FRANCISCO JR.,0,0,0,0,0
ROGÉRIO CORREIA,0,0,0,0,0
PAULO PEREIRA DA SILVA,1,0,0,0,1
PINHEIRINHO,0,0,0,0,0
LUIZA ERUNDINA,0,0,5,1,6
PROFESSORA MARCIVANIA,1,0,0,0,1
EDUARDO BISMARCK,0,0,0,0,0
SCHIAVINATO,0,0,0,0,0
GASTÃO VIEIRA,0,0,0,0,0
ASSIS CARVALHO,0,0,0,0,0
ENRICO MISASI,0,0,0,0,0
EDUARDO BRAIDE,0,0,0,0,0
FRED COSTA,0,0,0,0,0
FLÁVIA MORAIS,0,0,5,1,6
FÁBIO RAMALHO,0,0,3,1,4
TED CONTI,0,0,0,0,0
ELCIONE BARBALHO,0,0,2,0,2
JÚNIOR BOZZELLA,0,0,0,0,0
MARCELO ARO,0,0,8,5,13
SANDERSON,0,0,0,0,0
EDUARDO BOLSONARO,0,0,8,3,11
LEDA SADALA,0,0,0,0,0
MAJOR FABIANA,0,0,0,0,0
LUIZ ANTÔNIO CORRÊA,0,0,0,0,0
SORAYA SANTOS,0,0,1,3,4
AÉCIO NEVES,0,0,0,0,0
JOÃO ROMA,0,0,0,0,0
PEDRO CUNHA LIMA,0,0,0,3,3
ALENCAR SANTANA BRAGA,0,0,0,0,0
MARIANA CARVALHO,0,0,5,6,11
JULIO CESAR RIBEIRO,0,0,0,0,0
EDUARDO DA FONTE,0,0,0,0,0
BIA CAVASSA,0,0,0,0,0
DR. FREDERICO,0,0,0,0,0
CARLOS GOMES,0,0,2,3,5
AUREO RIBEIRO,0,0,0,0,0
ÁUREA CAROLINA,0,0,0,0,0
ANDRÉ FUFUCA,0,1,0,2,3
RENILDO CALHEIROS,0,0,0,0,0
DANILO CABRAL,1,0,1,0,2
PROFESSORA DORINHA SEABRA REZENDE,0,0,2,2,4
ARTHUR LIRA,0,0,0,0,0
BOSCO COSTA,0,0,0,0,0
DELEGADO ANTÔNIO FURTADO,0,0,0,0,0
FÁBIO TRAD,0,0,0,0,0
JOENIA WAPICHANA,0,0,0,0,0
DR. ZACHARIAS CALIL,0,0,0,0,0
EDUARDO BARBOSA,0,0,2,1,3
DIEGO ANDRADE,0,0,4,1,5
DRA. SORAYA MANATO,0,0,0,0,0
BRUNA FURLAN,0,1,1,0,2
DAVID MIRANDA,0,0,0,0,0
OTTO ALENCAR FILHO,0,0,0,0,0
ZÉ NETO,0,0,0,0,0
PAULO MAGALHÃES,0,0,2,1,3
JORGE BRAZ,0,0,0,0,0
MIGUEL LOMBARDI,0,0,3,2,5
HEITOR SCHUCH,0,0,2,0,2
TÚLIO GADÊLHA,0,0,0,0,0
SIDNEY LEITE,0,0,0,0,0
CÉLIO STUDART,0,0,0,0,0
BIRA DO PINDARÉ,0,0,0,0,0
ANDRÉ JANONES,0,0,0,0,0
CELINA LEÃO,0,0,0,0,0
ISNALDO BULHÕES JR.,0,0,0,0,0
ENÉIAS REIS,0,0,0,0,0
NORMA AYUB,0,0,0,0,0
FELIPE RIGONI,0,0,0,0,0
PASTOR SARGENTO ISIDÓRIO,0,0,0,0,0
BENES LEOCÁDIO,0,0,0,0,0
LIZIANE BAYER,0,0,0,0,0
STEFANO AGUIAR,0,0,3,0,3
MARCELO CALERO,0,0,0,0,0
LAURIETE,0,0,0,0,0
GERVÁSIO MAIA,0,0,0,0,0
RODRIGO COELHO,0,0,0,0,0
CHIQUINHO BRAZÃO,0,0,0,0,0
LUIZ LIMA,0,0,0,0,0
ROSANA VALLE,0,0,0,0,0
ALEXANDRE FROTA,0,0,0,0,0
ARLINDO CHINAGLIA,0,0,0,0,0
JÚNIOR FERRARI,0,0,0,0,0
MARCELO MORAES,0,0,0,0,0
LUIZ FLÁVIO GOMES,0,0,0,0,0
MAJOR VITOR HUGO,0,0,0,0,0
EMIDINHO MADEIRA,0,0,0,0,0
LOURIVAL GOMES,0,0,0,0,0
DR. LEONARDO,0,0,0,0,0
PAULO RAMOS,0,0,0,0,0
ADOLFO VIANA,0,0,0,0,0
LUCIANO BIVAR,0,0,0,0,0
BIBO NUNES,0,0,0,0,0
HÉLIO COSTA,0,0,0,0,0
EMANUEL PINHEIRO NETO,0,0,0,0,0
PASTOR GILDENEMYR,0,0,0,0,0
GIOVANI FELTES,0,0,0,0,0
LUCAS REDECKER,0,0,0,0,0
GENERAL GIRÃO,0,0,0,0,0
LUCAS GONZALEZ,0,0,0,0,0
ALCIDES RODRIGUES,0,0,0,0,0
RICARDO GUIDI,0,0,0,0,0
ANDRÉ FERREIRA,0,0,0,0,0
SARGENTO FAHUR,0,0,0,0,0
PEDRO LUPION,0,0,0,0,0
SERGIO TOLEDO,0,0,0,0,0
MARCO BERTAIOLLI,0,0,0,0,0
JOSÉ MEDEIROS,0,0,0,0,0
LÉO MOTTA,0,0,0,0,0
GILBERTO ABRAMO,0,0,0,0,0
ELI BORGES,0,0,0,0,0
JUNIOR LOURENÇO,0,0,0,0,0
FRANCO CARTAFINA,0,0,0,0,0
HELIO LOPES,0,0,0,0,0
MAURO NAZIF,0,0,0,0,0
LUIZ CARLOS MOTTA,0,0,0,0,0
POLICIAL KATIA SASTRE,0,0,0,0,0
WELITON PRADO,1,0,0,0,1
JOSE MARIO SCHREINER,0,0,0,0,0
AMARO NETO,0,0,0,0,0
MAURO BENEVIDES FILHO,0,0,0,0,0
LUIS TIBÉ,0,0,2,2,4
NEWTON CARDOSO JR,0,0,1,0,1
IGOR KANNÁRIO,0,0,0,0,0
ALEXIS FONTEYNE,0,0,0,0,0
GENERAL PETERNELLI,0,0,0,0,0
VILSON DA FETAEMG,0,0,0,0,0
LÉO MORAES,0,0,0,0,0
CORONEL TADEU,0,0,0,0,0
FELÍCIO LATERÇA,0,0,0,0,0
TIRIRICA,0,0,1,0,1
MERLONG SOLANO,0,0,0,1,1
KIM KATAGUIRI,0,0,0,0,0
CHRIS TONIETTO,0,0,0,0,0
BIA KICIS,0,0,0,0,0
JOICE HASSELMANN,0,0,0,0,0
CORONEL ARMANDO,0,0,0,0,0
HERMES PARCIANELLO,0,0,0,0,0
GUIGA PEIXOTO,0,0,0,0,0
MARCIO ALVINO,0,0,0,1,1
LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,0,0,0,0,0
RODRIGO MAIA,1,0,0,1,2
GUSTAVO FRUET,0,0,0,0,0
SÉRGIO BRITO,1,0,0,0,1
DELEGADO WALDIR,0,0,4,3,7
DR. LUIZ OVANDO,0,0,0,0,0
CARLOS BEZERRA,0,0,18,28,46
GREYCE ELIAS,0,0,0,0,0
RODRIGO AGOSTINHO,0,0,0,0,0
CAROLINE DE TONI,0,0,0,0,0
ABOU ANNI,0,0,0,0,0
JOSIAS GOMES,0,0,0,0,0
PROFESSOR ISRAEL BATISTA,0,0,0,0,0
FELIPE CARRERAS,0,0,1,0,1
DANIEL TRZECIAK,0,0,0,0,0
CAPITÃO FÁBIO ABREU,0,0,2,1,3
RUBENS PEREIRA JÚNIOR,0,0,16,5,21
ANÍBAL GOMES,0,0,0,0,0
CABO JUNIO AMARAL,0,0,0,0,0
NELSON BARBUDO,0,0,0,0,0
ELIAS VAZ,0,0,0,0,0
ADRIANA VENTURA,0,0,0,0,0
PAULO GANIME,0,0,0,0,0
GILSON MARQUES,0,0,0,0,0
FLÁVIA ARRUDA,0,0,0,0,0
VINICIUS POIT,0,0,0,0,0
LUIS MIRANDA,0,0,0,0,0
MARCEL VAN HATTEM,0,0,0,0,0
JOSÉ NELTO,0,0,0,0,0
COVATTI FILHO,0,0,6,3,9
PAES LANDIM,0,0,0,0,0
PAULO EDUARDO MARTINS,0,0,0,0,0
TIAGO MITRAUD,0,0,0,0,0
SIMPLÍCIO ARAÚJO,0,0,0,0,0
SANDRO ALEX,0,0,1,2,3
HERCÍLIO COELHO DINIZ,0,0,0,0,0
OSMAR TERRA,0,0,1,2,3
PAULO FOLETTO,1,0,0,1,2
PAULA BELMONTE,0,0,0,0,0
TEREZA CRISTINA,0,0,1,2,3
MARCELO ÁLVARO ANTÔNIO,0,0,4,3,7
ONYX LORENZONI,0,0,0,2,2
